City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Jalu,LY,29.0331,21.5482,90.81,28,0,15.03,clear sky
80,Hofn,IS,64.2539,-15.2082,51.82,87,100,4.61,overcast clouds
81,Nanortalik,GL,60.1432,-45.2371,44.28,90,70,1.97,broken clouds
82,Hobart,AU,-42.8794,147.3294,48.06,85,40,3.44,scattered clouds
83,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,few clouds
84,Faanui,PF,-16.4833,-151.75,78.24,75,8,20.78,clear sky
85,Airai,TL,-8.9266,125.4092,57.9,86,100,1.63,overcast clouds
86,Moroni,KM,-11.7022,43.2551,82.4,65,40,14.97,scattered clouds
87,Usinsk,RU,65.9939,57.5281,44.2,58,53,8.48,broken clouds
88,Whitehorse,CA,60.7161,-135.0538,39.97,81,20,2.3,few clouds
89,Pevek,RU,69.7008,170.3133,38.57,76,2,9.64,clear sky
90,Laguna,US,38.421,-121.4238,85.78,44,0,3.44,clear sky
91,Bluff,NZ,-46.6,168.3333,41.81,78,73,0.49,broken clouds
92,Rawson,AR,-43.3002,-65.1023,45.37,64,100,24.16,overcast clouds
93,Malatya,TR,38.5,38.0,78.85,21,0,10.36,clear sky
94,Severo-Kurilsk,RU,50.6789,156.125,53.42,94,49,16.58,scattered clouds
95,Bredasdorp,ZA,-34.5322,20.0403,64.4,55,0,10.16,clear sky
96,San Ramon,US,37.7799,-121.978,76.12,61,0,0.0,clear sky
97,Kolondieba,ML,11.0882,-6.8926,83.64,71,93,3.71,moderate rain
98,Same,TZ,-4.0667,37.7333,76.24,45,84,12.62,broken clouds
99,Palembang,ID,-2.9167,104.7458,78.89,94,40,3.44,scattered clouds
100,Sinnamary,GF,5.3833,-52.95,84.24,69,92,9.86,overcast clouds
101,Hassleholm,SE,56.1591,13.7664,67.78,52,94,10.02,overcast clouds
102,Kuusamo,FI,65.9667,29.1833,44.64,70,40,4.61,scattered clouds
103,Colombia,CU,20.9881,-77.4297,84.2,68,7,6.46,clear sky
104,Lagoa,PT,39.05,-27.9833,74.97,88,96,19.01,overcast clouds
105,Henties Bay,NA,-22.116,14.2845,62.89,68,2,8.93,clear sky
106,Kununurra,AU,-15.7667,128.7333,75.18,69,100,6.91,overcast clouds
107,Nata,PA,8.3333,-80.5167,80.47,82,100,3.44,overcast clouds
108,Takapau,NZ,-40.0333,176.35,42.73,91,54,1.86,broken clouds
