City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Marzuq,YE,80.64,light rain,14.4,46.4667,حيد القفلة
145,Cabo San Lucas,MX,78.1,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
147,Kinango,KE,80.71,clear sky,-4.1372,39.3153,Legacy Hotel
151,Fort-Shevchenko,KZ,66.34,overcast clouds,44.5086,50.263,Oasis hotel Bautino
157,La Rioja,ES,69.58,overcast clouds,42.25,-2.5,Casa Concejos
159,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
160,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
161,Ortega,CO,84.25,clear sky,3.9361,-75.2217,Hotel Gilmart
162,Acapulco,MX,78.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
164,Abha,SA,85.82,scattered clouds,18.2164,42.5053,Abha Hotel
165,Cidreira,BR,66.51,overcast clouds,-30.1811,-50.2056,Hotel Castelo
167,Hirado,JP,73.38,overcast clouds,33.3597,129.5531,Samson Hotel
168,Panacan,PH,80.29,broken clouds,9.2463,118.4082,Mom's Place Resort
169,Lethem,GY,85.48,overcast clouds,3.3803,-59.7968,Savannah Inn
170,Kralendijk,BQ,87.78,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
171,Kruisfontein,ZA,71.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
173,Potiskum,NG,84.2,overcast clouds,11.7091,11.0694,Tamir Hotel Ltd
174,Kontagora,NG,72.57,overcast clouds,10.3999,5.4695,Queens Guest Inn
175,Cozumel,MX,84.99,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
176,Antalaha,MG,72.75,clear sky,-14.9003,50.2788,Hotel Vitasoa
177,Marovoay,MG,88.39,few clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
182,Kavaratti,IN,79.84,overcast clouds,10.5669,72.642,Green leaf
183,Spring Hill,US,86.04,clear sky,28.4769,-82.5255,Millennium Suites Llc
184,Kunda,IN,88.48,scattered clouds,25.7167,81.5167,Girja Sankar And Arvind gupta
185,Kirakira,SB,78.87,scattered clouds,-10.4544,161.9205,SanBiz Lodge
187,Honiara,SB,77.67,clear sky,-9.4333,159.95,Heritage Park Hotel
188,Tenerife,CO,81.79,overcast clouds,9.9003,-74.859,"Hotel ""Quilichao"""
190,Merrill,US,65.89,clear sky,45.1805,-89.6835,Prairie Motel
191,Sechura,PE,66.88,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
192,Gashua,NG,88.93,overcast clouds,12.871,11.0482,Forte Oil - Old Lorry Park
194,Ibra,OM,92.77,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
195,Nicoya,CR,79.86,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
197,Gouyave,GD,84.97,scattered clouds,12.1646,-61.7296,Rumboat Retreat
199,Pasighat,IN,76.23,overcast clouds,28.0667,95.3333,Siang Guest House
201,Puerto Narino,CO,84.51,few clouds,-3.7703,-70.3831,Eware Refugio Amazonico
203,Snihurivka,UA,67.3,clear sky,47.0758,32.8052,Artua
204,Sokoni,TZ,82.26,clear sky,-6.4333,39.55,Ujamaa Beach Resort
205,Lasa,IT,72.7,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
206,Clovis,US,89.67,scattered clouds,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
207,Caramay,PH,80.08,broken clouds,10.1815,119.236,Peace and Love Beach Club
208,Takoradi,GH,80.74,light rain,4.8845,-1.7554,Raybow International Hotel
210,Harrisburg,US,68.94,moderate rain,40.2737,-76.8844,Hilton Harrisburg
213,Chabahar,IR,80.08,clear sky,25.2919,60.643,هتل گدروشیا
215,Itoman,JP,80.62,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
216,Lugovoy,KZ,81.46,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
218,Labuhan,ID,80.35,scattered clouds,-6.8844,112.2051,DoubleFAG
221,Birin,NP,65.23,broken clouds,26.8865,88.0718,Sangam Hospitality
222,Bad Oldesloe,DE,76.35,overcast clouds,53.8117,10.3742,Good Morning + Bad Oldesloe
223,Tabou,CI,80.02,broken clouds,4.423,-7.3528,hotêl doufoulougou
227,Kavieng,PG,82.31,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
228,Rangia,IN,82.35,scattered clouds,26.4667,91.6333,Dibjoy Boro
229,Aloleng,PH,82.36,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
231,Mumford,GH,78.51,scattered clouds,5.2618,-0.759,Spanish Villa
232,Gasa,PS,87.87,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
235,Sibiti,CG,85.28,overcast clouds,-3.6819,13.3499,Gaby et confort
236,Saint George,US,81.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
238,Sao Joao Do Piaui,BR,88.27,broken clouds,-8.3581,-42.2467,Nayra Palace Hotel
240,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
241,Las Choapas,MX,77.49,overcast clouds,17.9333,-94.0833,Hotel Jysmak
242,Ponta Pora,BR,67.91,clear sky,-22.5361,-55.7256,Hotel Pousada do Bosque
244,Takestan,IR,91.53,few clouds,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
245,Mattru,SL,73.44,heavy intensity rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
246,Catuday,PH,81.64,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
247,Nargana,PA,81.27,overcast clouds,9.4428,-78.5906,Dubbir
248,Jos,NG,73.08,moderate rain,9.9167,8.9,Silk Suites
250,Los Llanos De Aridane,ES,74.95,clear sky,28.6585,-17.9182,Valle Aridane
251,Cambridge,CA,66.22,clear sky,43.3601,-80.3127,Cambridge Gateway Suites
252,Faya,SA,86.11,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
256,Ojinaga,MX,70.75,clear sky,29.5667,-104.4167,Suites Las Palmas
258,Kovur,IN,84.36,overcast clouds,14.4833,79.9833,Hotel Yesh Park
261,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
262,Luderitz,,69.82,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
263,Korla,CN,83.3,clear sky,41.7597,86.1469,Gulisitan Hotel
264,Constantine,DZ,98.01,scattered clouds,36.365,6.6147,Grand Hotel Cirta
267,Fayaoue,NC,72.14,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
269,Bunia,CD,74.08,light rain,1.5667,30.25,Gold Star International Hotel
270,Newark,US,68.99,mist,40.7357,-74.1724,"Robert Treat Hotel, BW Premier Collection"
272,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
274,Santa Comba,ES,70.2,scattered clouds,43.0331,-8.8093,Hotel Xallas
275,Campagna,IT,86.41,clear sky,40.6653,15.1059,Hotel Capital
276,Pestisani,RO,75.43,few clouds,45.0667,23.0333,Casa Gorjeană
278,Benton Harbor,US,70.45,broken clouds,42.1167,-86.4542,The Boulevard Inn & Bistro
281,Vega De Alatorre,MX,79.77,overcast clouds,20.0333,-96.6333,Hotel D Luxe
282,Ponta Do Sol,PT,84.0,scattered clouds,32.6667,-17.1,Hotel do Campo
284,Marienburg,PL,68.88,scattered clouds,54.0359,19.0266,Hotel Centrum Malbork
285,Chikhli,IN,77.63,scattered clouds,20.35,76.25,HOTEL GULMOHAR
286,Newport,GB,71.08,overcast clouds,51.5877,-2.9984,ibis budget Newport
287,Sidi Ali,DZ,83.91,scattered clouds,36.0998,0.4206,Khaled
288,Dharchula,IN,73.51,broken clouds,29.85,80.5333,Mahara Hotel
289,Pochutla,MX,73.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
290,Sao Filipe,CV,79.29,light rain,14.8961,-24.4956,Hotel Xaguate
291,Hobyo,SO,78.62,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
292,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
293,Bogo,PH,80.85,overcast clouds,11.0517,124.0055,Acrige Apartelle
294,Kabompo,ZM,92.48,clear sky,-13.5927,24.2008,Big Tree
295,Saint-Pierre,RE,73.08,overcast clouds,-21.3393,55.4781,Alize Plage
297,Praia Da Vitoria,PT,80.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
299,Moerai,PF,72.41,clear sky,-22.4333,-151.3333,Le Manotel
300,Mana,GF,85.17,scattered clouds,5.6592,-53.7767,LE SAMANA
302,Ambilobe,MG,79.38,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
303,Callaway,US,80.53,broken clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
304,Kailua,US,80.01,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
305,San Patricio,US,80.46,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
306,Ginir,ET,69.93,light rain,7.1333,40.7,Sura Dare Village
308,Voh,NC,67.32,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
309,Asosa,ET,68.56,light rain,10.0667,34.5333,Blendana Hotel Assosa
312,Juba,SS,85.53,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
314,Garoua,CM,90.0,broken clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
316,Muros,ES,71.1,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
317,Alice Springs,AU,65.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
318,Puerto Escondido,MX,76.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
323,Waw,SS,86.52,overcast clouds,7.7029,27.9953,Universal Gab Hotel
328,Bengkulu,ID,76.05,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
329,Nizwa,OM,94.87,scattered clouds,22.9333,57.5333,Orient Apartments
331,Basco,PH,83.66,broken clouds,20.4487,121.9702,Nathaniel's Lodge
332,Ponta Delgada,PT,77.72,broken clouds,37.7333,-25.6667,Vila Nova Hotel
333,Aguimes,ES,79.43,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
334,Shingu,JP,77.52,overcast clouds,33.7333,135.9833,Shingu UI Hotel
335,Sume,BR,83.48,clear sky,-7.6717,-36.88,Pousada Sumé ll
336,Naze,JP,77.92,broken clouds,28.3667,129.4833,Shishime Hotel
337,Saint Anthony,US,70.09,mist,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
338,Pandan,PH,81.91,overcast clouds,14.0453,124.1694,Bonifacio Lodge
339,El Tigre,VE,82.85,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
341,Mayo,US,73.51,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
343,Quang Ngai,VN,75.72,overcast clouds,15.1167,108.8,Central Hotel
344,Paita,PE,65.3,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
345,Toyota,JP,79.99,overcast clouds,35.0833,137.15,Meitetsu Toyota Hotel
347,Salamiyah,SY,89.02,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
348,Aranos,,89.6,clear sky,-24.1333,19.1167,Ley-Lia Guest House
349,Pachino,IT,81.16,clear sky,36.7186,15.0907,Il Veliero
350,Victoria,HK,85.17,overcast clouds,22.2855,114.1577,Mini Central
351,Silchar,IN,81.19,heavy intensity rain,24.8167,92.8,Hotel Borail View
